Character,Movies,Year
Agent Coulson,Avengers,2012
Agent Coulson,Iron Man ,2008
Agent Coulson,Iron Man 2,2010
Agent Coulson,Thor,2011
Agent Coulson,Captain Marvel,2019
Ant-Man,Ant-Man and the Wasp,2018
Ant-Man,Avengers: Endgame,2019
Ant-Man,Captain America: Civil War,2016
Ant-Man,Ant-Man,2015
Betty Ross,The Incredible Hulk,2008
Black Widow,Avengers,2012
Black Widow,Avengers: Age of Ultron,2015
Black Widow,Avengers: Endgame,2019
Black Widow,Avengers: Infinity War,2018
Black Widow,Captain America: Civil War,2016
Black Widow,Captain America: The Winter Soldier,2014
Black Widow,Iron Man 2,2010
Captain America,Avengers,2012
Captain America,Avengers: Age of Ultron,2015
Captain America,Avengers: Endgame,2019
Captain America,Avengers: Infinity War,2018
Captain America,Captain America: Civil War,2016
Captain America,Captain America: The First Avenger,2011
Captain America,Captain America: The Winter Soldier,2014
Captain America,Spider-Man: Homecoming,2017
Captain America,Thor: The Dark World,2013
Captain Marvel,Avengers: Endgame,2019
Captain Marvel,Avengers: Infinity War,2018
Captain Marvel,Captain Marvel,2019
Dr. Hank Pym,Ant-Man,2015
Dr. Hank Pym,Ant-Man and the Wasp,2018
Drax,Avengers: Endgame,2019
Drax,Avengers: Infinity War,2018
Drax,Guardians of the Galaxy,2014
Drax,Guardians of the Galaxy: Vol. 2,2017
Emil Blonsky,The Incredible Hulk,2008
Erik Killmonger,Black Panther,2018
Falcon,Ant-Man,2015
Falcon,Avengers: Age of Ultron,2015
Falcon,Avengers: Endgame,2019
Falcon,Avengers: Infinity War,2018
Falcon,Captain America: Civil War,2016
Falcon,Captain America: The Winter Soldier,2014
Gamora,Avengers: Endgame,2019
Gamora,Avengers: Infinity War,2018
Gamora,Guardians of the Galaxy,2014
Gamora,Guardians of the Galaxy: Vol. 2,2017
Groot,Avengers: Endgame,2019
Groot,Avengers: Infinity War,2018
Groot,Guardians of the Galaxy,2014
Groot,Guardians of the Galaxy: Vol. 2,2017
Hawkeye,Avengers,2012
Hawkeye,Avengers: Age of Ultron,2015
Hawkeye,Avengers: Endgame,2019
Hawkeye,Captain America: Civil War,2016
Hawkeye,Thor,2011
Heimdall,Avengers: Age of Ultron,2015
Heimdall,Avengers: Infinity War,2018
Heimdall,Thor,2011
Heimdall,Thor: Ragnarok,2017
Heimdall,Thor: The Dark World,2013
Hela,Thor: Ragnarok,2017
Hulk,Avengers,2012
Hulk,Avengers: Age of Ultron,2015
Hulk,Avengers: Endgame,2019
Hulk,Avengers: Infinity War,2018
Hulk,Iron Man 3,2013
Hulk,The Incredible Hulk,2008
Hulk,Thor: Ragnarok,2017
Iron Monger,Iron Man ,2008
Ivan Vanko,Iron Man 2,2010
Jane Foster,Avengers: Endgame,2019
Jane Foster,Thor,2011
Jane Foster,Thor: The Dark World,2013
Loki,Avengers,2012
Loki,Avengers: Infinity War,2018
Loki,Thor,2011
Loki,Thor: Ragnarok,2017
Loki,Thor: The Dark World,2013
Mantis,Avengers: Endgame,2019
Mantis,Avengers: Infinity War,2018
Mantis,Guardians of the Galaxy: Vol. 2,2017
M'Baku,Avengers: Endgame,2019
M'Baku,Avengers: Infinity War,2018
M'Baku,Black Panther,2018
Nakia,Black Panther,2018
Nebula,Avengers: Endgame,2019
Nebula,Avengers: Infinity War,2018
Nebula,Guardians of the Galaxy,2014
Nebula,Guardians of the Galaxy: Vol. 2,2017
Nick Fury,Avengers,2012
Nick Fury,Avengers: Age of Ultron,2015
Nick Fury,Avengers: Endgame,2019
Nick Fury,Avengers: Infinity War,2018
Nick Fury,Captain America: The First Avenger,2011
Nick Fury,Captain America: The Winter Soldier,2014
Nick Fury,Captain Marvel,2019
Nick Fury,Iron Man ,2008
Nick Fury,Iron Man 2,2010
Nick Fury,Spider-Man: Far from Home,2019
Odin,Thor,2011
Odin,Thor: Ragnarok,2017
Odin,Thor: The Dark World,2013
Okoye,Avengers: Endgame,2019
Okoye,Avengers: Infinity War,2018
Okoye,Black Panther,2018
Peggy Carter,Avengers: Endgame,2019
Peggy Carter,Captain America: The First Avenger,2011
Peggy Carter,Captain America: The Winter Soldier,2014
Pepper Potts,Avengers,2012
Pepper Potts,Avengers: Endgame,2019
Pepper Potts,Avengers: Infinity War,2018
Pepper Potts,Iron Man ,2008
Pepper Potts,Iron Man 2,2010
Pepper Potts,Iron Man 3,2013
Pepper Potts,Spider-Man: Homecoming,2017
Quicksilver,Captain America: The Winter Soldier,2014
Quicksilver,Avengers: Age of Ultron,2015
Red Skull,Avengers: Endgame,2019
Red Skull,Avengers: Infinity War,2018
Red Skull,Captain America: The First Avenger,2011
Rocket Raccoon,Avengers: Endgame,2019
Rocket Raccoon,Avengers: Infinity War,2018
Rocket Raccoon,Guardians of the Galaxy,2019
Rocket Raccoon,Guardians of the Galaxy: Vol. 2,2017
Scarlet Witch,Avengers: Age of Ultron,2015
Scarlet Witch,Avengers: Endgame,2019
Scarlet Witch,Avengers: Infinity War,2018
Scarlet Witch,Captain America: Civil War,2016
Scarlet Witch,Captain America: The Winter Soldier,2014
Sharon Carter,Captain America: Civil War,2016
Sharon Carter,Captain America: The Winter Soldier,2014
Shuri,Avengers: Endgame,2019
Shuri,Avengers: Infinity War,2018
Shuri,Black Panther,2018
Spider-Man,Avengers: Endgame,2019
Spider-Man,Avengers: Infinity War,2018
Spider-Man,Captain America: Civil War,2016
Spider-Man,Spider-Man: Homecoming,2017
Spider-Man,Spider-Man: Far from Home,2019
Star-Lord,Avengers: Endgame,2019
Star-Lord,Avengers: Infinity War,2018
Star-Lord,Guardians of the Galaxy,2014
Star-Lord,Guardians of the Galaxy: Vol. 2,2017
Doctor Strange,Avengers: Endgame,2019
Doctor Strange,Avengers: Infinity War,2018
Doctor Strange,Doctor Strange,2016
Doctor Strange,Thor: Ragnarok,2017
Black Panther,Avengers: Endgame,2019
Black Panther,Avengers: Infinity War,2018
Black Panther,Black Panther,2018
Black Panther,Captain America: Civil War,2016
Thanos,Avengers,2012
Thanos,Avengers: Age of Ultron,2015
Thanos,Avengers: Endgame,2019
Thanos,Avengers: Infinity War,2018
Thanos,Guardians of the Galaxy,2014
The Ancient One,Avengers: Endgame,2019
The Ancient One,Doctor Strange,2016
Thor Odinson,Avengers,2012
Thor Odinson,Avengers: Age of Ultron,2015
Thor Odinson,Avengers: Endgame,2019
Thor Odinson,Avengers: Infinity War,2018
Thor Odinson,Doctor Strange,2016
Thor Odinson,Thor,2011
Thor Odinson,Thor: Ragnarok,2017
Thor Odinson,Thor: The Dark World,2013
Iron Man,Avengers,2012
Iron Man,Avengers: Age of Ultron,2015
Iron Man,Avengers: Endgame,2019
Iron Man,Avengers: Infinity War,2018
Iron Man,Captain America: Civil War,2016
Iron Man,Iron Man ,2008
Iron Man,Iron Man 2,2010
Iron Man,Iron Man 3,2013
Iron Man,Spider-Man: Homecoming,2017
Iron Man,The Incredible Hulk,2008
Valkyrie,Thor: Ragnarok,2017
Valkyrie,Avengers: Infinity War,2018
Valkyrie,Avengers: Endgame,2019
Vision,Avengers: Age of Ultron,2015
Vision,Avengers: Infinity War,2018
Vision,Captain America: Civil War,2016
Vulture,Spider-Man: Homecoming,2017
War Machine,Avengers: Age of Ultron,2015
War Machine,Avengers: Endgame,2019
War Machine,Avengers: Infinity War,2018
War Machine,Captain America: Civil War,2016
War Machine,Iron Man ,2008
War Machine,Iron Man 2,2010
War Machine,Iron Man 3,2013
Wasp,Ant-Man,2015
Wasp,Ant-Man and the Wasp,2018
Winter Soldier,Avengers: Endgame,2019
Winter Soldier,Avengers: Infinity War,2018
Winter Soldier,Captain America: Civil War,2016
Winter Soldier,Captain America: The First Avenger,2011
Winter Soldier,Captain America: The Winter Soldier,2014
Wong,Avengers: Endgame,2019
Wong,Avengers: Infinity War,2018
Wong,Doctor Strange,2016
